来源,食谱,原料,原料类别,类型,营养状态,营养状态名,当前制备方法,问题数,最高严重度,问题类型,说明,建议修法
正式食谱,Lucky 定制食谱,食用盐,调味品类,FOOD,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,鸡蛋壳粉,乳类及制品,SUPPLEMENT,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,鸡蛋壳粉,乳类及制品,SUPPLEMENT,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,海藻粉,乳类及制品,SUPPLEMENT,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,海藻粉,乳类及制品,SUPPLEMENT,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,胆碱片,乳类及制品,SUPPLEMENT,(无档案),,"df60590f-a697-4897-ab08-1322e2287268, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,胆碱片,乳类及制品,SUPPLEMENT,(无档案),,"df60590f-a697-4897-ab08-1322e2287268, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,牛磺酸胶囊,乳类及制品,SUPPLEMENT,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,牛磺酸胶囊,乳类及制品,SUPPLEMENT,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,洋车前子壳粉,乳类及制品,SUPPLEMENT,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,洋车前子壳粉,乳类及制品,SUPPLEMENT,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 的易消化简餐,鸡胸,禽肉类及制品,FOOD,(无档案),,去皮、去骨、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,Lucky 的易消化简餐,鸡胸,禽肉类及制品,FOOD,(无档案),,去皮、去骨、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,Lucky 的易消化简餐,西兰花,蔬菜类及制品,FOOD,(无档案),,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,高,E1 无营养档案 + B5 非标准词 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；自由文本：焯水沥干 / 称重；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；归入受控词表或补进字典；统一口径
正式食谱,Lucky 的易消化简餐,西兰花,蔬菜类及制品,FOOD,(无档案),,打碎、静置30分钟、焯水沥干、称重、充分搅拌,3,高,E1 无营养档案 + B5 非标准词 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；自由文本：焯水沥干 / 称重；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；归入受控词表或补进字典；统一口径
正式食谱,Lucky 的易消化简餐,南瓜,蔬菜类及制品,FOOD,(无档案),,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,Lucky 的易消化简餐,南瓜,蔬菜类及制品,FOOD,(无档案),,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,Lucky 的易消化简餐,大米,谷类及制品,FOOD,(无档案),,煮熟后称重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,Lucky 的易消化简餐,大米,谷类及制品,FOOD,(无档案),,煮熟后称重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,TT 的鲜食食谱 07/05,鸡肝,禽肉类及制品,FOOD,COOKED,熟,去油、生重、打碎、充分搅拌,1,高,A1 熟档案却写生重,营养数据是熟食口径，却让按生重称量,文案改「熟重」或「煮熟后称重」
正式食谱,xz 的鲜食食谱 07/08,鸭胗,禽肉类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,xz 的鲜食食谱 07/08,黑米,谷类及制品,FOOD,cooked,熟/米饭,煮熟后打碎,3,高,D1 状态枚举不规范 + B5 非标准词 + A3 熟档案未写口径,营养档案状态写成「cooked」，小写/非标准值会让所有语义校验静默失效；自由文本：煮熟后打碎；没写按生重还是熟重称量,把状态枚举归一为 RAW/COOKED 等标准值；归入受控词表或补进字典；补「熟重」
正式食谱,xz 的鲜食食谱 07/08,藜麦,谷类及制品,FOOD,COOKED,熟,生重、打粉、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,xz 的鲜食食谱 07/08,紫薯,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,xz 的鲜食食谱 07/08 副本,鸭胗,禽肉类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,xz 的鲜食食谱 07/08 副本,黑米,谷类及制品,FOOD,cooked,熟/米饭,煮熟后打碎,3,高,D1 状态枚举不规范 + B5 非标准词 + A3 熟档案未写口径,营养档案状态写成「cooked」，小写/非标准值会让所有语义校验静默失效；自由文本：煮熟后打碎；没写按生重还是熟重称量,把状态枚举归一为 RAW/COOKED 等标准值；归入受控词表或补进字典；补「熟重」
正式食谱,xz 的鲜食食谱 07/08 副本,红小豆,谷类及制品,FOOD,COOKED,熟,生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,xz 的鲜食食谱 07/08 副本,紫薯,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,xz 的鲜食食谱 07/15,鸭胗,禽肉类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,xz 的鲜食食谱 07/15,黑米,谷类及制品,FOOD,cooked,熟/米饭,煮熟后打碎,3,高,D1 状态枚举不规范 + B5 非标准词 + A3 熟档案未写口径,营养档案状态写成「cooked」，小写/非标准值会让所有语义校验静默失效；自由文本：煮熟后打碎；没写按生重还是熟重称量,把状态枚举归一为 RAW/COOKED 等标准值；归入受控词表或补进字典；补「熟重」
正式食谱,xz 的鲜食食谱 07/15,红小豆,谷类及制品,FOOD,COOKED,熟,生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,xz 的鲜食食谱 07/15,紫薯,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,xz 的鲜食食谱 猪里脊鳕鱼鸡蛋,鳕鱼颈背肉,水产类,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,xz 的鲜食食谱 猪里脊鳕鱼鸡蛋,糙米,谷类及制品,FOOD,RAW,生,煮熟后称重、打碎、充分搅拌,2,高,A2 生档案却写熟重 + A4 同原料口径不一致,营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,先定规则：改文案或改档案；统一口径
正式食谱,xz 的鲜食食谱 猪里脊鳕鱼鸡蛋,紫薯,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,乖乖 的鲜食食谱 08/25,胡萝卜,蔬菜类及制品,FOOD,RAW,生,煮熟后称重、打碎、充分搅拌,2,高,A2 生档案却写熟重 + A4 同原料口径不一致,营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,先定规则：改文案或改档案；统一口径
正式食谱,乖乖 的鲜食食谱 08/25,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,高,A2 生档案却写熟重 + A4 同原料口径不一致,营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,先定规则：改文案或改档案；统一口径
正式食谱,兔肉食谱,四季豆,蔬菜类及制品,FOOD,RAW,生,煮熟后沥水称重、打碎后充分搅拌,2,高,B5 非标准词 + A2 生档案却写熟重,自由文本：煮熟后沥水称重 / 打碎后充分搅拌；营养数据是生食口径，却让按熟重称量,归入受控词表或补进字典；先定规则：改文案或改档案
正式食谱,兔肉食谱,胡萝卜,蔬菜类及制品,FOOD,RAW,生,煮熟后称重、打碎、充分搅拌,2,高,A2 生档案却写熟重 + A4 同原料口径不一致,营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,先定规则：改文案或改档案；统一口径
正式食谱,兔里脊大米土豆,兔里脊,畜肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,兔里脊大米土豆,兔里脊,畜肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,兔里脊大米土豆,鸭肝,禽肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,兔里脊大米土豆,鸭肝,禽肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,兔里脊大米土豆,大米,谷类及制品,FOOD,(无档案),,煮熟后称重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,兔里脊大米土豆,大米,谷类及制品,FOOD,(无档案),,煮熟后称重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,兔里脊大米土豆,土豆,薯类及制品,FOOD,(无档案),,去皮、煮熟后称重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,兔里脊大米土豆,土豆,薯类及制品,FOOD,(无档案),,去皮、煮熟后称重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
